% Model,一维阵列侧向.mph
% Version,COMSOL 6.2.0.290
% Date,"May 24 2025, 21:37"
% Table,探针表 1 - 
% 时间 (ms),"总声压 (Pa), 阵列3","总声压 (Pa), 阵列1","总声压 (Pa), 阵列2","总声压 (Pa), 阵列4","总声压 (Pa), 阵列5","总声压 (Pa), 阵列6","总声压 (Pa), 阵列7","总声压 (Pa), 阵列8","总声压 (Pa), 阵列9"
11.849999999999936,4.069373420919993E-5,-1.3787019379623156E-4,-1.7112112501552838E-6,5.78052125326778E-5,-1.7192158695324867E-5,-4.462854030926217E-6,-1.3327534351743451E-6,4.6705658027894056E-5,-6.0932086029232226E-5
11.866666666666601,7.599532695125805E-6,-1.5501421162378423E-4,-3.749019981480746E-5,3.770060679286834E-5,1.0946974868894001E-5,-6.864602409367306E-6,2.2086532715880426E-5,2.000057273918896E-5,-1.3098095448425934E-5
11.883333333333269,-2.2173426564120404E-5,-1.5301274775413872E-4,-6.422491520815754E-5,1.0850052057645374E-5,3.419949083159551E-5,-7.668059812807832E-7,3.805513736339611E-5,-1.145898799105163E-5,3.932528962993283E-5
11.899999999999935,-4.105356589672898E-5,-1.318139895160314E-4,-7.93923609161658E-5,-1.634209582950814E-5,5.017773993868253E-5,9.789356231834872E-6,4.4339150443215445E-5,-4.334067157508491E-5,8.694845431322366E-5
11.916666666666602,-4.3376210198243495E-5,-9.645318982083729E-5,-8.311828520282144E-5,-3.8285102568492826E-5,5.665377864402807E-5,1.949032808216623E-5,4.174547138604043E-5,-7.069355421098961E-5,1.2084421701205173E-4
11.933333333333268,-2.7359891937890994E-5,-5.526785713656768E-5,-7.803723020407898E-5,-5.107560591437928E-5,5.180284088411795E-5,2.380592442595994E-5,3.350951593957873E-5,-8.879500536832494E-5,1.3456844761405127E-4
11.949999999999934,3.5526327181120675E-6,-1.6766282810829146E-5,-6.839393212042815E-5,-5.266311819285059E-5,3.505692934585678E-5,2.0505188719264212E-5,2.3800195185402315E-5,-9.408848929852285E-5,1.256273456554174E-4
11.966666666666601,4.0671858297948363E-5,1.3424516749056836E-5,-5.870173584880104E-5,-4.256680419531149E-5,8.146704968082335E-6,1.014350347344225E-5,1.5979448792204406E-5,-8.501973505449411E-5,9.60060131357458E-5
11.983333333333267,7.17476763704884E-5,3.421437346470883E-5,-5.243010391510458E-5,-2.1548324796071804E-5,-2.4300517239625836E-5,-4.5115785959843765E-6,1.1354270942327212E-5,-6.25582550665999E-5,5.163989797194629E-5
11.999999999999934,8.41934982254799E-5,4.871328597584705E-5,-5.111851509028012E-5,8.449695112943539E-6,-5.513401928859577E-5,-1.9736229255327482E-5,8.940870498204214E-6,-3.022543082813517E-5,1.001735103379918E-6
12.0166666666666,6.90394566692767E-5,6.223009152041799E-5,-5.4078335857870404E-5,4.406027716892472E-5,-7.616969704769628E-5,-3.220464982231129E-5,6.313527932853464E-6,6.452511544975936E-6,-4.6797429942517934E-5
